timestamp,ankle_horiz_fwd,ankle_vert,ankle_horiz_lateral,leg_horiz_fwd,leg_vert,leg_horiz_lateral,trunk_horiz_fwd,trunk_vert,trunk_horiz_lateral,is_anomaly
1970-01-01 00:10:20.000,101,1009,306,-163,1000,282,116,980,-58,0
1970-01-01 00:10:20.015,60,1009,316,-290,925,272,145,1028,-87,0
1970-01-01 00:10:20.031,40,1000,297,-318,898,242,135,1038,-126,0
1970-01-01 00:10:20.046,60,1019,287,-254,962,202,135,1019,-87,0
1970-01-01 00:10:20.062,90,980,316,-236,925,242,67,971,-58,0
1970-01-01 00:10:20.078,80,990,316,-263,879,252,58,1000,-97,0
1970-01-01 00:10:20.093,80,1000,326,-263,925,252,19,980,-106,0
1970-01-01 00:10:20.109,80,980,306,-245,962,222,19,971,-145,0
1970-01-01 00:10:20.125,90,1000,297,-236,935,202,-19,990,-77,0
1970-01-01 00:10:20.140,80,990,297,-254,944,212,58,1019,-135,0
1970-01-01 00:10:20.156,70,980,336,-272,916,222,67,1028,-87,0
1970-01-01 00:10:20.171,70,1000,326,-263,907,191,97,1009,-87,0
1970-01-01 00:10:20.187,90,980,297,-227,972,232,155,1009,-106,0
1970-01-01 00:10:20.203,80,1029,326,-172,981,303,116,990,-58,0
1970-01-01 00:10:20.218,70,1000,336,-318,925,242,145,1028,-87,0
1970-01-01 00:10:20.234,30,1009,297,-281,879,202,194,1019,-116,0
1970-01-01 00:10:20.250,80,1000,297,-236,990,212,135,1019,-87,0
1970-01-01 00:10:20.265,111,970,316,-227,935,232,106,990,-67,0
1970-01-01 00:10:20.281,70,980,336,-254,879,252,67,980,-116,0
1970-01-01 00:10:20.296,80,970,316,-245,916,242,29,990,-165,0
1970-01-01 00:10:20.312,40,1009,316,-245,972,232,0,980,-135,0
1970-01-01 00:10:20.328,80,1009,297,-254,953,202,-9,990,-87,0
1970-01-01 00:10:20.343,90,990,306,-272,925,222,58,1028,-135,0
1970-01-01 00:10:20.359,90,970,297,-272,935,202,29,1038,-67,0
1970-01-01 00:10:20.375,90,990,287,-209,907,222,184,990,-67,0
1970-01-01 00:10:20.390,101,980,326,-145,1027,242,116,1000,-48,0
1970-01-01 00:10:20.406,80,1009,316,-245,925,292,174,1009,-38,0
1970-01-01 00:10:20.421,80,990,306,-300,888,222,174,1038,-145,0
1970-01-01 00:10:20.437,70,1000,297,-236,953,181,203,1057,-155,0
1970-01-01 00:10:20.453,90,1029,297,-218,972,202,97,1000,-48,0
1970-01-01 00:10:20.468,80,980,326,-227,870,252,116,990,-135,0
1970-01-01 00:10:20.484,50,980,326,-309,879,252,38,990,-116,0
1970-01-01 00:10:20.500,60,990,306,-281,944,242,48,971,-145,0
1970-01-01 00:10:20.515,60,1009,306,-236,962,232,-9,990,-126,0
1970-01-01 00:10:20.531,90,1009,316,-236,953,222,0,1000,-87,0
1970-01-01 00:10:20.546,70,1000,297,-218,916,202,29,1047,-106,0
1970-01-01 00:10:20.562,70,990,316,-245,935,212,126,1019,-97,0
1970-01-01 00:10:20.578,90,960,306,-172,935,191,87,1000,-67,0
1970-01-01 00:10:20.593,90,1019,306,-154,1000,313,165,1000,-77,0
1970-01-01 00:10:20.609,70,1000,297,-154,1000,313,155,1009,-97,0
1970-01-01 00:10:20.625,50,1019,287,-263,898,202,233,1047,-184,0
1970-01-01 00:10:20.640,50,1019,287,-263,898,202,135,1009,-29,0
1970-01-01 00:10:20.656,111,1019,306,-236,990,202,116,1028,-145,0
1970-01-01 00:10:20.671,111,1019,306,-218,953,222,9,1000,-97,0
1970-01-01 00:10:20.687,60,980,306,-263,888,222,0,990,-126,0
1970-01-01 00:10:20.703,60,980,306,-290,888,242,-9,990,-145,0
1970-01-01 00:10:20.718,60,1000,326,-281,944,252,0,990,-126,0
1970-01-01 00:10:20.734,80,1000,306,-254,962,232,19,990,-106,0
1970-01-01 00:10:20.750,80,990,297,-236,935,202,87,1028,-135,0
1970-01-01 00:10:20.765,80,960,326,-263,898,212,87,1028,-135,0
1970-01-01 00:10:20.781,60,970,316,-272,907,242,77,1009,-58,0
1970-01-01 00:10:20.796,111,960,306,-209,972,252,135,1009,-77,0
1970-01-01 00:10:20.812,111,1019,336,-118,990,292,155,980,-38,0
1970-01-01 00:10:20.828,80,990,316,-281,916,252,174,1000,-87,0
1970-01-01 00:10:20.843,50,1019,306,-254,898,181,203,1047,-126,0
1970-01-01 00:10:20.859,80,1019,257,-218,1009,171,145,1028,-77,0
